Name;DEIMS.ID;Country;Coordinates
"ICP_Forests_Austria, Jochberg (ICP_FO_AU17)";0da4be08-87f8-41e2-a564-2cd2ccdb3da2;Austria;"POINT (12.41 47.33)"
"ICP_Forests_Austria, Klausen-Leopoldsdorf (ICP_FO_AU09)";bb472a51-f85f-4de0-8358-f21ecbe2a102;Austria;"POINT (16.05 48.12)"
"ICP_Forests_Austria, Mondsee (ICP_FO_AU11)";8a313716-ceed-4f41-8b0b-a8197bfc304a;Austria;"POINT (13.35 47.88)"
"ICP_Forests_Austria, Murau (ICP_FO_AU16)";580e2d1a-e45e-4b65-9962-1bdcc3d76ad3;Austria;"POINT (14.11 47.06)"
"ICP_Forests_Austria, Mürzzuschlag (ICP_FO_AU15)";f2dd51af-ad46-4710-bd5b-cac4b674b675;Austria;"POINT (15.66 47.63)"
"ICP_Forests_Austria, Unterpullendorf (ICP_FO_AU2)";2e80048a-3b38-4a25-9764-bd7c3d2c6a7d;Austria;"POINT (16.56 47.49)"
Isone;06af0bf1-7ddf-40c8-b4b8-d3602c1f9599;Switzerland;"POINT (9.0080555 46.1248982)"
Isone;06af0bf1-7ddf-40c8-b4b8-d3602c1f9599;Switzerland;"POINT (9.0080555 46.1248982)"
"IT03-Forest of the Apennines";a2e325b8-9aa2-4c1b-b74c-a2ce59149252;Italy;"POINT (14.258 41.0758)"
"IT04-Mediterranean forest";5355f2c8-2f10-440d-9faf-72611855a259;Italy;"POINT (10.4273 43.519)"
"IT05-Lowland Forests";7ec3f9ee-1da5-4e03-acb0-135c010c7ee3;Italy;"POINT (10.7333 45.2)"
"IT09-Mountain Lakes";3f0267f2-e67e-443f-b89d-d2c5dcfce1c9;Italy;"POINT (10.29 44.4025)"
"IT18- Castelporziano Reserve";6353c203-f55f-41a0-8cf1-51f4bd5d1fc0;Italy;"POINT (12.4 41.745)"
Jussy;fa36576a-6409-41d4-96ae-67f2a3d7e085;Switzerland;"POINT (6.2908547 46.2298528)"
Jussy;fa36576a-6409-41d4-96ae-67f2a3d7e085;Switzerland;"POINT (6.2908547 46.2298528)"
Kaarvatn;cac466c8-ee2a-4133-afd2-4497539e25a1;Norway;"POINT (8.88333 62.7833)"
Kaarvatn;cac466c8-ee2a-4133-afd2-4497539e25a1;Norway;"POINT (8.88333 62.7833)"
"Karkonoski National Park";24901777-6ad9-4c07-b570-595cb9446482;Poland;"POINT (15.5921 50.8086)"
Katowice;70d7113c-1afb-4c5c-89a4-7dbd69de55b1;Poland;"POINT (18.9472 50.2106)"
"Kindla, IM-site SE15";9aa88bb6-b4a9-4569-8520-3d26643e6de9;Sweden;"POINT (14.9 59.75)"
"Kindla, IM-site SE15";9aa88bb6-b4a9-4569-8520-3d26643e6de9;Sweden;"POINT (14.9 59.75)"
"Kolari Field Site";98a3b631-fcb0-4482-8572-6fee28691a39;Finland;"POINT (23.8294 67.3544)"
"Kolari Field Site";98a3b631-fcb0-4482-8572-6fee28691a39;Finland;"POINT (23.8294 67.3544)"
Krkonose/Karkonosze;fbab0f16-f991-4608-bca2-d1d3b9e89507;Czechia;"POINT (15.3667 50.6147)"
Krofdorf;f73a0f95-8fb0-4755-92fc-f4b0207f5fe4;Germany;"POINT (8.65 50.68)"
Laegeren;7b4d8b76-1c6d-410c-998c-f9c56b2f7347;Switzerland;"POINT (8.36439 47.4783)"
Laegeren;7b4d8b76-1c6d-410c-998c-f9c56b2f7347;Switzerland;"POINT (8.36439 47.4783)"
"Lago Paione Inferiore";c128d2f9-beb0-45ba-89bb-df9e12f95b0f;Italy;"POINT (8.189401 46.169017)"
"Lago Paione Superiore";7e5837a9-ee27-4e27-822a-f50e5217c313;Italy;"POINT (8.191037 46.175611)"
"Lammi LTER";a43d31c8-6219-4ab8-ac41-6088cb56b12b;Finland;"POINT (25.041429 61.053687)"
"Lammi LTER";a43d31c8-6219-4ab8-ac41-6088cb56b12b;Finland;"POINT (25.041429 61.053687)"
"Lange Bramke";8e24d4f8-d6f6-4463-83e9-73cac2fd3f38;Germany;"POINT (10.4333 51.8667)"
"Lange Bramke";8e24d4f8-d6f6-4463-83e9-73cac2fd3f38;Germany;"POINT (10.4333 51.8667)"
Lantsch;56188252-b48f-47a2-97d9-83283a2b4975;Switzerland;"POINT (9.5646678 46.6980544)"
Lantsch;56188252-b48f-47a2-97d9-83283a2b4975;Switzerland;"POINT (9.5646678 46.6980544)"
Lausanne;e60f9991-daf7-448c-9b78-44b00be86f6d;Switzerland;"POINT (6.6580421 46.5837664)"
Lausanne;e60f9991-daf7-448c-9b78-44b00be86f6d;Switzerland;"POINT (6.6580421 46.5837664)"
Lens;dda5ccfa-3fd3-447c-bf61-08a02a3d8374;Switzerland;"POINT (7.4359392 46.2685558)"
Lens;dda5ccfa-3fd3-447c-bf61-08a02a3d8374;Switzerland;"POINT (7.4359392 46.2685558)"
"Llyn Llagi";744bfb9e-298d-445e-8ea8-0c392be327d2;"United Kingdom";"POINT (-4.01558 53.0143)"
Lochnagar;9d80adab-698e-4d8a-a1ab-a37cb54d7fba;"United Kingdom";"POINT (-3.21667 56.95)"
Louvain-la-Neuve;42ae4e04-c4de-4727-a96d-264bafc729d7;Belgium;"POINT (4.601111 50.681111)"
"LTER Zöbelboden";8eda49e9-1f4e-4f3e-b58e-e0bb25dc32a6;Austria;"POINT (14.444136161386 47.842246069311)"
"LTSER Silva Gabreta";bc72e137-dbc6-49ce-8116-e5af0ea2f924;Czechia;"POINT (13.5792 49.0177)"
"Luess intensive monitoring site";050e88fa-06e7-43e5-8dcc-6b75a549cb09;Germany;"POINT (10.266388 52.839444)"
"Lysina & Pluhuv Bor catchments";a7cf7d23-ffa1-45f0-bb3b-82ee8fdf725a;Czechia;"POINT (12.6514 50.0333)"
"Magurski National Park";29555207-34c3-4e1d-b794-c6154c136571;Poland;"POINT (21.4354 49.4867)"
Mellier;c9cf7c25-b4fa-4756-b731-da85a9f00e28;Belgium;"POINT (5.456111 49.773889)"
"Monte Rufeno LAZ1";05e96829-e64a-48d3-a96d-de2aa4cde146;Italy;"POINT (11.9028 42.8306)"
"National Park Gór Stolowych";79c7e974-4db3-4f06-8094-9845daf25d78;Poland;"POINT (16.4068 50.4575)"
Nationalpark;02ebdc77-d35c-4e19-ad7b-31a65885e7df;Switzerland;"POINT (10.2300874 46.662501)"
Nationalpark;02ebdc77-d35c-4e19-ad7b-31a65885e7df;Switzerland;"POINT (10.2300874 46.662501)"
"Nationalpark Kellerwald-Edersee";5c11903f-9b21-47ee-a72b-13d5ef4b7db7;Germany;"POINT (8.978149 51.146107)"
Neunkirch;e7c82a90-eee2-4e42-b90d-c0531a59e306;Switzerland;"POINT (8.535683 47.6837031)"
Neunkirch;e7c82a90-eee2-4e42-b90d-c0531a59e306;Switzerland;"POINT (8.535683 47.6837031)"
"Northern LTSER Platform";9efa71db-d3e8-4018-930f-c1fa9a1aaf99;Finland;"POINT (21.771 68.8962)"
"Northern LTSER Platform";9efa71db-d3e8-4018-930f-c1fa9a1aaf99;Finland;"POINT (21.771 68.8962)"
Novaggio;27988972-7e28-4fc2-a5e0-8d30d0f5dabd;Switzerland;"POINT (8.8341613 46.0226119)"
Novaggio;27988972-7e28-4fc2-a5e0-8d30d0f5dabd;Switzerland;"POINT (8.8341613 46.0226119)"
"Ojcowski National Park";86b52b33-d402-48e9-996f-5bc94cca3fb3;Poland;"POINT (19.8242 50.1908)"
Othmarsingen;9d082cc6-3282-4469-8d7b-05fa3e13489a;Switzerland;"POINT (8.2267566 47.3995354)"
Othmarsingen;9d082cc6-3282-4469-8d7b-05fa3e13489a;Switzerland;"POINT (8.2267566 47.3995354)"
"Oulanka Research Station (Oulanka LTER)";f81f30bb-6e2b-4a11-9b65-266fee2ae330;Finland;"POINT (29.3167 66.3667)"
"Oulanka Research Station (Oulanka LTER)";f81f30bb-6e2b-4a11-9b65-266fee2ae330;Finland;"POINT (29.3167 66.3667)"
"Pallas-Sodankylä LTER observatory";b0edd1d7-4fe7-4945-a366-4e9ff21e9dd3;Finland;"POINT (25.4083 67.7083)"
Petrohan-Ponor;3d8dd081-e6c5-4233-b2bb-7a353bcab094;Bulgaria;"POINT (23.127 43.1207)"
"Piano Limina CAL1";d35d5417-d167-4137-97d1-c62ae4bc580b;Italy;"POINT (16.1667 38.4167)"
"Pieninski National Park";69a0e7ac-5e63-4ba8-95b1-d81b7b5f7fea;Poland;"POINT (20.3634 49.421)"
"Polana Biosphere Reserve (Hukavsky grun)";e4548296-426c-4e08-a517-d177d8ad5239;Slovakia;"POINT (19.5394 48.6428)"
